AveragePrecision  (AP) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.145, 0.124, 0.160, 0.197, 0.206, 0.202, 0.222, 0.203, 0.239, 0.223, 0.232, 0.223, 0.231, 0.223, 0.230, 0.240, 0.230, 0.228, 0.236, 0.241
AveragePrecision  (AP) @[ IoU=0.50      | area=   all | maxDets=100 ], 0.287, 0.246, 0.285, 0.368, 0.345, 0.357, 0.379, 0.352, 0.393, 0.406, 0.402, 0.396, 0.413, 0.405, 0.414, 0.418, 0.417, 0.413, 0.417, 0.431
AveragePrecision  (AP) @[ IoU=0.75      | area=   all | maxDets=100 ], 0.143, 0.111, 0.149, 0.178, 0.239, 0.222, 0.233, 0.208, 0.260, 0.214, 0.229, 0.231, 0.222, 0.205, 0.228, 0.221, 0.221, 0.203, 0.227, 0.237
AveragePrecision  (AP) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.005, 0.002, 0.015, 0.021, 0.051, 0.035, 0.064, 0.057, 0.047, 0.036, 0.044, 0.048, 0.056, 0.047, 0.038, 0.050, 0.046, 0.056, 0.043, 0.043
AveragePrecision  (AP) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.123, 0.127, 0.146, 0.219, 0.223, 0.193, 0.235, 0.223, 0.238, 0.246, 0.254, 0.245, 0.248, 0.267, 0.249, 0.264, 0.265, 0.255, 0.264, 0.260
AveragePrecision  (AP) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.279, 0.259, 0.296, 0.336, 0.348, 0.348, 0.366, 0.348, 0.402, 0.389, 0.387, 0.389, 0.387, 0.379, 0.406, 0.414, 0.390, 0.390, 0.400, 0.387
AverageRecall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=  1 ], 0.166, 0.146, 0.171, 0.214, 0.205, 0.186, 0.209, 0.217, 0.241, 0.232, 0.240, 0.241, 0.223, 0.244, 0.233, 0.256, 0.251, 0.250, 0.254, 0.250
AverageRecall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets= 10 ], 0.201, 0.195, 0.205, 0.286, 0.306, 0.265, 0.324, 0.304, 0.319, 0.317, 0.316, 0.326, 0.306, 0.313, 0.315, 0.342, 0.341, 0.322, 0.330, 0.326
AverageRecall     (AR) @[ IoU=0.50:0.95 | area=   all | maxDets=100 ], 0.209, 0.199, 0.217, 0.293, 0.310, 0.273, 0.331, 0.313, 0.330, 0.333, 0.328, 0.336, 0.315, 0.321, 0.328, 0.352, 0.350, 0.332, 0.339, 0.337
AverageRecall     (AR) @[ IoU=0.50:0.95 | area= small | maxDets=100 ], 0.011, 0.006, 0.039, 0.038, 0.059, 0.046, 0.077, 0.070, 0.064, 0.057, 0.059, 0.063, 0.065, 0.056, 0.063, 0.064, 0.068, 0.068, 0.056, 0.055
AverageRecall     (AR) @[ IoU=0.50:0.95 | area=medium | maxDets=100 ], 0.162, 0.153, 0.190, 0.260, 0.296, 0.267, 0.329, 0.285, 0.314, 0.357, 0.343, 0.315, 0.336, 0.347, 0.344, 0.359, 0.369, 0.342, 0.348, 0.349
AverageRecall     (AR) @[ IoU=0.50:0.95 | area= large | maxDets=100 ], 0.361, 0.358, 0.351, 0.456, 0.460, 0.429, 0.503, 0.467, 0.518, 0.516, 0.503, 0.538, 0.495, 0.490, 0.509, 0.542, 0.532, 0.513, 0.522, 0.518












